"concept","abs_freq","rel_freq_annotated","pct_annotated"
"breakfast party",2,0.0666666666666667,6.7
"1856",1,0.0333333333333333,3.3
"1861",1,0.0333333333333333,3.3
"1986",1,0.0333333333333333,3.3
"Breton mythologies",1,0.0333333333333333,3.3
"British Library vs New Mexico",1,0.0333333333333333,3.3
"Civil War wall",1,0.0333333333333333,3.3
"Crabb Robinson",1,0.0333333333333333,3.3
"Dear Madam",1,0.0333333333333333,3.3
"feminist scholarship",1,0.0333333333333333,3.3
"Goethe",1,0.0333333333333333,3.3
"Hesperides",1,0.0333333333333333,3.3
"historiography",1,0.0333333333333333,3.3
"Koran poster",1,0.0333333333333333,3.3
"Male Ventriloquism",1,0.0333333333333333,3.3
"Melusina",1,0.0333333333333333,3.3
"menial work",1,0.0333333333333333,3.3
"narrative truth",1,0.0333333333333333,3.3
"Nidhogg",1,0.0333333333333333,3.3
"owl pellets",1,0.0333333333333333,3.3
"Ragnarök III",1,0.0333333333333333,3.3
"Robert Graves",1,0.0333333333333333,3.3
"Romance vs Novel",1,0.0333333333333333,3.3
"snow",1,0.0333333333333333,3.3
"theology",1,0.0333333333333333,3.3
"Troy",1,0.0333333333333333,3.3
"truth and illusion",1,0.0333333333333333,3.3
"Vico",1,0.0333333333333333,3.3
"Xerox",1,0.0333333333333333,3.3
